Country,year,REER,ccode,NOMLRATE,log_RPUBINV,log_RGDP,growth_RGDP,UNRATE,PDEBT,INVGDP,OUTPUTGAP,PRIMARYBAL,PUBINVRATIO,forecasterror,INVGDP_diff
Austria,2000,99.84169,AUT,5.56,2.018286295,5.629468029,0.031397194,3.8,66.4976,23.00406578,1.81007,1.1766289,2.7019896,-0.228504606,NA
Austria,2001,99.56379,AUT,5.08,1.93987467,5.642552004,0.013083975,3.9,67.0794,22.46216837,0.6925932,2.9179896,2.4657422,-0.418459586,-0.54189741
Austria,2002,99.96824,AUT,4.96,2.051345666,5.657286512,0.014734508,4.3,67.2164,20.90689904,-0.0735082,2.0522159,2.7161875,0.15499652,-1.55526933
Austria,2003,103.22345,AUT,4.14,2.018069411,5.668637694,0.011351182,4.6,66.2301,21.59646468,-1.1514137,1.3673742,2.5976366,0.047357685,0.68956564
Austria,2004,103.92454,AUT,4.13,2.006517374,5.693966499,0.025328805,5.9,65.679,21.26467053,-0.8971263,-1.8884374,2.5035781,-0.03322183,-0.33179415
Austria,2005,102.43629,AUT,3.39,2.210803145,5.716905042,0.022938544,6,69.1104,20.23321124,-0.8626274,0.6778944,3.001368,0.129156573,-1.03145929
Austria,2006,101.45346,AUT,3.8,2.2274702,5.749075671,0.032170629,5.7,67.7876,19.87548024,0.2978718,0.5639452,2.9551958,0.057454462,-0.357731
Austria,2008,102.32698,AUT,4.36,2.392190007,5.800561,0.014428557,4.4,69.1494,20.22428252,2.0723702,1.403801,3.3095069,0.100550784,0.34880228
Austria,2009,103.49181,AUT,3.94,2.390116726,5.764039394,-0.036521606,5.7,80.3477,19.23820562,-2.5289734,-2.1706537,3.4254999,0.019250205,-0.9860769
Austria,2010,99.96518,AUT,3.23,2.367641082,5.781967609,0.017928214,5.2,83.2159,18.57129351,-1.5191722,-1.5008811,3.2898554,-0.032353894,-0.66691211
Austria,2011,100.42634,AUT,3.32,2.320202203,5.810821828,0.028854219,4.9,82.9692,19.6591783,0.4550574,0.3613495,3.0481974,-0.012082522,1.08788479
Austria,2012,98.61284,AUT,2.37,2.296084657,5.817084789,0.006262961,5.2,82.4541,19.99577371,0.1401344,0.6094866,2.9569846,0.02150821,0.33659541
Austria,2013,100.68019,AUT,2.01,2.334964921,5.814574372,-0.002510417,5.7,81.954,20.23016161,-1.1009724,0.6643914,3.0819444,0.011792856,0.2343879
Austria,2014,102.39853,AUT,1.49,2.317407902,5.822104033,0.007529661,6,84.8196,19.96158897,-1.3330424,0.5415895,3.0055907,0.022336038,-0.26857264
Austria,2015,100,AUT,0.75,2.326272322,5.835054859,0.012950826,6.1,85.4366,19.90262611,-1.260955,1.8748403,2.9933331,0.03623646,-0.05896286
Austria,2016,101.68826,AUT,0.38,2.346864973,5.856006156,0.020951297,6.5,83.293,20.32965797,-0.5251469,0.6446674,2.9922601,0.1138229,0.42703186
Austria,2017,102.81243,AUT,0.58,2.407780542,5.878474333,0.022468176,5.9,78.9424,20.73638921,0.4083117,1.0717355,3.1095449,0.1317465,0.40673124
Austria,2018,104.91046,AUT,0.69,2.424155193,5.903012963,0.024538631,5.2,74.4771,21.22933673,1.5650285,1.8282653,3.0842619,-0.0018939,0.49294752
Austria,2019,103.86536,AUT,0.06,2.458658624,5.920410628,0.017397665,4.8,70.896,21.9426353,2.0682478,1.9676388,3.1374748,0.1786546,0.71329857
Austria,2020,106.0427,AUT,-0.22,2.451549184,5.855143749,-0.06526688,6,83.183,21.80891302,-5.3252876,-6.8542242,3.3253525,0.0530514,-0.13372228
Austria,2021,106.17433,AUT,-0.09,2.57271511,5.901982811,0.046839062,6.2,82.3946,22.29383153,-1.9544695,-4.58837,3.5819329,0.3153201,0.48491851
Austria,2022,103.96091,AUT,1.71,2.587940508,5.953416107,0.051433296,4.8,78.3756,22.01960905,1.9925373,-2.3562153,3.4545587,0.1741128,-0.27422248
Austria,2023,107.95906,AUT,3.08,2.641671954,5.943820438,-0.009595668,5.1,78.5519,21.22084405,-0.0305834,-1.4167586,3.6804008,0.2770794,-0.798765
Belgium,2000,96.01966,BEL,5.59,2.064925813,5.803611641,0.036492994,7.1,109.5887,20.12852977,2.0383389,6.6348931,2.3785341,0.196039035,NA
Belgium,2001,96.67706,BEL,5.13,1.961221774,5.814547668,0.010936027,6.7,108.2171,20.26936284,0.6399905,6.8043228,2.120908,0.168717054,0.14083307
Belgium,2002,97.36978,BEL,4.99,1.951267014,5.831472569,0.016924901,7.6,105.4363,18.63176605,0.0495878,5.7954833,2.0646581,0.160776308,-1.63759679
Belgium,2003,101.57211,BEL,4.18,1.976072645,5.841798633,0.010326063,8.3,101.6595,18.39941792,-1.0226995,3.5525579,2.0947709,0.108246281,-0.23234813
Belgium,2004,102.56635,BEL,4.15,1.971497634,5.876887803,0.035089171,8.5,97.1697,19.44854065,0.3240738,4.6192352,2.0133098,-0.002960031,1.04912273
Belgium,2005,102.09891,BEL,3.43,2.019694142,5.899839763,0.02295196,8.6,95.1418,20.08911177,0.5415064,1.6899563,2.0647818,-0.151097829,0.64057112
Belgium,2006,102.03086,BEL,3.81,1.967186276,5.925042893,0.02520313,8.4,91.4942,20.4150373,1.1443321,4.3828185,1.9104018,-0.043244617,0.32592553
Belgium,2008,105.57675,BEL,4.42,2.073340921,5.965611365,0.004459103,7.1,93.1598,22.07824404,1.5226932,2.9341869,2.0398979,-0.0410319,1.66320674
Belgium,2009,106.10134,BEL,3.9,2.155499703,5.946362887,-0.019248478,8,99.853,20.29244117,-1.6860845,-1.4937529,2.2576106,-0.085593494,-1.78580287
Belgium,2010,103.35362,BEL,3.46,2.174923291,5.973105216,0.026742329,8.4,100.2449,19.69709483,-0.4006163,-0.491958,2.2411481,-0.148360054,-0.59534634
Belgium,2011,103.95965,BEL,4.23,2.249644255,5.992232677,0.019127461,7.2,102.7357,20.42073646,0.0390095,-0.852578,2.3692697,-0.014545865,0.72364163
Belgium,2012,101.57787,BEL,3,2.2948138,5.994388369,0.002155692,7.6,104.3351,20.35021855,-0.7814306,-0.7876064,2.4734047,-0.06945969,-0.07051791
Belgium,2013,103.17063,BEL,2.41,2.235941762,5.997438666,0.003050297,8.6,105.0216,19.83095985,-1.284874,0.1873212,2.3248913,-0.028489816,-0.5192587
Belgium,2014,103.43703,BEL,1.71,2.344066522,6.01494003,0.017501363,8.7,106.526,20.29549709,-0.5083893,0.1171479,2.5454226,0.441878746,0.46453724
